announcement_date,reaction_date,label,category,direction,source_url,trading_date,days_to_market,pre5_pct,pre20_pct,event_return_pct,gap_pct,intraday_pct,range_pct,volume_ratio20,close_position,nifty_return_pct,abnormal_vs_nifty_pct,post1_pct,post5_pct,post20_pct,path_type
2023-11-22,2023-11-22,OSAT application disclosed,Semiconductor,Positive,https://www.businesstoday.in/markets/company-stock/story/cg-power-shares-rise-record-high-outsourced-semiconductor-assembly-and-test-406670-2023-11-22,2023-11-22,0,2.0285,-0.4851,20.4079,-0.0385,20.4543,21.5933,11.7888,1.0000,,,-1.9815,-3.7605,-3.3024,intraday_accumulation
2024-02-29,2024-02-29,"Cabinet approves Rs 7,600cr OSAT unit",Semiconductor,Positive,https://www.cgglobal.com/admin/uploads/Reg_30_Disclosure_Release_PIB.pdf,2024-02-29,0,-0.1404,-8.5476,4.9426,0.2811,4.6484,6.6508,3.6449,0.9643,,,3.3482,4.6429,14.9330,intraday_accumulation
2024-03-13,2024-03-13,Sanand OSAT foundation ceremony,Semiconductor,Positive,https://www.cgglobal.com/admin/uploads/Press_Release_13032024.pdf,2024-03-13,0,-2.9233,4.5742,1.2639,1.1100,0.1522,3.3496,2.5080,0.6556,,,1.5845,9.8437,7.0111,ordinary
2024-06-04,2024-06-04,Indian election-result risk shock,Macro,Negative,https://www.nseindia.com/market-data/live-equity-market,2024-06-04,0,5.6682,24.4843,-7.7555,-0.2399,-7.5337,25.0000,2.2171,0.6233,,,-1.1268,3.9634,13.3874,negative_expansion
2024-07-04,2024-07-05,G.G. Tronics acquisition announced,Railway/KAVACH,Positive,https://www.cgglobal.com/admin/uploads/Annual_Report-FY_2024-25.pdf,2024-07-05,1,3.7292,15.2694,6.4851,0.2212,6.2500,8.3812,3.6387,0.7975,0.0498,6.4353,0.1169,-5.6032,-10.0312,intraday_accumulation
2025-01-28,2025-01-29,Q3 FY25 results and transformer capex,Earnings/Capex,Positive,https://economictimes.indiatimes.com/markets/stocks/news/cg-power-shares-rally-over-8-as-q3-earnings-beat-estimates-capex-plans-boost-sentiment/articleshow/117673838.cms,2025-01-29,1,-12.9069,-21.0591,7.6843,0.1830,7.4876,9.5747,3.6142,0.7820,0.8700,6.8142,0.2427,-2.2330,-3.2362,intraday_accumulation
2025-04-07,2025-04-07,Global tariff-driven risk-off gap,Macro,Negative,https://www.nseindia.com/market-data/live-equity-market,2025-04-07,0,-7.4920,-5.0968,-7.1177,-10.4914,3.7692,7.2822,1.5570,0.5809,-2.9419,-4.1758,2.2517,10.8877,12.8614,negative_gap_recovery
2025-05-06,2025-05-06,Q4 FY25 industrial-margin disappointment,Earnings,Negative,https://www.business-standard.com/markets/news/cg-power-tanks-8-on-heavy-volumes-post-q4-results-check-details-125050600834_1.html,2025-05-06,0,0.7371,3.6874,-6.2156,0.3934,-6.5831,11.2254,2.7356,0.1908,-0.5053,-5.7103,1.9211,9.2953,13.7836,intraday_distribution
2025-08-28,2025-08-29,Sanand OSAT facility launch,Semiconductor,Positive,https://nsearchives.nseindia.com/corporate/CGPOWER_28082025173125_Disclosure_Press_Release_28_08_2025.pdf,2025-08-29,1,-1.5944,0.5303,4.6722,2.0271,2.5925,4.7138,6.9660,0.8333,-0.4054,5.0776,3.4197,6.2635,6.8395,positive_expansion
2026-01-17,2026-01-19,Rs 900cr US data-centre transformer order,Order win,Positive,https://www.cgglobal.com/cg-in-the-news,2026-01-19,2,-8.5325,-15.9445,4.8515,3.4514,1.3534,4.6552,8.8206,0.2907,-0.5696,5.4211,-2.6197,-8.9053,16.9091,positive_expansion
2026-01-27,2026-01-28,Q3 FY26 results: growth and backlog,Earnings,Positive,https://nsearchives.nseindia.com/corporate/CGPOWER_27012026145448_SEDisclosure_PressRelease.pdf,2026-01-28,1,-8.9053,-18.2630,8.6741,-0.0560,8.7351,9.0527,3.9783,0.9649,0.4516,8.2226,1.4176,13.3946,24.2031,intraday_accumulation
2026-05-06,2026-05-06,Q4 FY26 results and record backlog,Earnings,Mixed,https://nsearchives.nseindia.com/corporate/CGPOWER_06052026144003_SEDisclosure_PressRelease.pdf,2026-05-06,0,0.8537,21.2788,-0.3628,0.7013,-1.0567,4.4154,2.7879,0.5634,1.1939,-1.5566,4.4114,2.9733,14.1990,ordinary
2026-05-27,2026-05-27,Broad power-equipment sector rally,Sector,Positive,https://www.angelone.in/news/stocks/power-stocks-rally-as-bse-power-index-hits-record-high-bhel-cg-power-and-siemens-energy-surge,2026-05-27,0,7.4741,7.4085,6.3866,0.2044,6.1696,6.3492,3.2858,0.9821,-0.0547,6.4413,-1.6916,0.4269,0.5229,intraday_accumulation
2026-07-03,2026-07-03,Power-equipment procurement policy shock,Sector policy,Negative,https://www.livemint.com/market/stock-market-news/why-did-cg-power-hitachi-energy-apar-industries-and-other-capital-goods-stocks-crash-up-to-10-today-explained-11783070141221.html,2026-07-03,0,4.4057,5.5742,-6.5803,-4.8047,-1.8653,4.3851,7.1379,0.1877,0.4303,-7.0107,3.2089,2.4150,-3.6337,negative_expansion
